,n_neurons,n_filters,n_layers,data_size,min_delta,score,accuracy_best,accuracy_last,epochs
0,26,154,1,11731,2.339468691477647e-05,0.3682679831981659,0.8275201916694641,0.8275201916694641,23
1,92,353,2,58098,0.00028094679922069317,0.3687618672847748,0.8268798589706421,0.8268798589706421,23
2,756,191,1,59222,8.264786052315144e-05,0.3692243993282318,0.8287065625190735,0.8287065625190735,15
3,31,281,2,5167,4.405600408108018e-06,0.3700166940689087,0.8260533809661865,0.8260533809661865,28
4,126,25,2,41614,0.0008213827927038679,0.3700232207775116,0.8269333243370056,0.8269333243370056,3
5,875,25,1,15809,0.007364517561561174,0.3703961968421936,0.8261865973472595,0.8261865973472595,6
6,189,47,2,85775,3.0275908218492705e-06,0.37066391110420227,0.8258799910545349,0.8258799910545349,2
7,2041,68,1,83363,0.032486095659685944,0.3714554011821747,0.8270266652107239,0.8270266652107239,5
8,31,1118,3,53916,1.016634356516298e-06,0.37161755561828613,0.8253198266029358,0.8253198266029358,6
9,35,2051,3,98461,1.1270346080695703e-05,0.3719119131565094,0.8248000741004944,0.8248000741004944,4
10,55,199,2,45929,0.00450415544458479,0.37192296981811523,0.8262132406234741,0.8262132406234741,0
11,135,2385,3,62673,0.00010354975150938469,0.37208911776542664,0.8258931636810303,0.8258931636810303,13
12,58,647,1,4600,5.116546116561685e-05,0.37249600887298584,0.8254666328430176,0.8254666328430176,9
13,2738,999,2,50460,1.7547130687054532e-06,0.3749160170555115,0.8227865099906921,0.8227865099906921,10
14,133,274,2,10610,0.003778664562045405,0.37509915232658386,0.8243597745895386,0.8243597745895386,3
15,21,8940,3,90362,4.964946299985345e-06,0.37512263655662537,0.8248932957649231,0.8248932957649231,6
16,37,6174,2,12279,2.8184923805114555e-05,0.37532633543014526,0.8238667845726013,0.8238667845726013,13
17,60,8354,1,30024,0.011612175361977534,0.37572750449180603,0.8238667249679565,0.8238667249679565,5
18,137,205,2,3603,0.0001758806315172347,0.3766852915287018,0.8239467144012451,0.8239467144012451,13
19,20,879,1,8915,0.0010342894463442357,0.3767954111099243,0.8226801156997681,0.8226801156997681,13
20,45,1286,1,1927,0.001756388334910716,0.37695613503456116,0.8236264586448669,0.8236264586448669,8
21,24,1959,1,1757,2.792998141801337e-05,0.37714332342147827,0.8241866827011108,0.8241866827011108,19
22,218,152,3,20107,8.344777086161852e-05,0.37715375423431396,0.8232665061950684,0.8232665061950684,8
23,103,129,3,3528,0.024136184371984042,0.3775791525840759,0.822973370552063,0.822973370552063,8
24,1120,788,2,10418,1.4795450630851997e-06,0.37762781977653503,0.8219864964485168,0.8219864964485168,19
25,132,130,2,3586,0.08362730163257832,0.3782227635383606,0.8245334625244141,0.8245334625244141,4
26,1070,3491,3,51439,0.00291143393051481,0.3783401548862457,0.821600079536438,0.821600079536438,12
27,2806,116,1,2073,0.0005689781858315897,0.37845417857170105,0.8234800696372986,0.8234800696372986,14
28,15210,856,1,23010,0.001680222488514989,0.37858718633651733,0.8218933939933777,0.8218933939933777,14
29,181,1265,1,2506,4.814692585082566e-06,0.3792920708656311,0.8214533925056458,0.8214533925056458,10
30,4343,127,3,97349,0.001905146045995322,0.37999042868614197,0.8217063546180725,0.8217063546180725,10
31,272,60,2,1636,0.008146373288999177,0.3810640871524811,0.8221330046653748,0.8221330046653748,11
32,2155,415,1,7583,0.0007041897084092035,0.3819981813430786,0.821066677570343,0.821066677570343,5
33,14162,516,2,94539,2.5179480007500355e-06,0.3822971284389496,0.8217200636863708,0.8217200636863708,10
34,7269,318,2,16657,1.2917343126097207e-05,0.3826301693916321,0.8205998539924622,0.8205998539924622,13
35,1039,211,1,1006,6.627527415035576e-05,0.3830944001674652,0.8205599784851074,0.8205599784851074,13
36,477,29,1,1137,5.29986748831689e-06,0.38372233510017395,0.8212531805038452,0.8212531805038452,34
37,1096,27,3,18646,0.022605599048058478,0.3840796649456024,0.819159984588623,0.819159984588623,5
